	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S294	L3S313	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L4S137	0.6879923343658447	0.7414559125900269	0.7387802600860596	0.7244598865509033	0.6889352798461914	0.6676008105278015	0.7101539373397827	0.7052761316299438	0.3562101125717163	0.2429863512516022	0.3354300856590271	0.3084356188774109	0.2423910796642303	0.2586736977100372	0.240727573633194	0.1947059482336044	0.3837707340717316	0.3002924621105194	0.7408337593078613	0.2385158985853195	0	0.335669219493866	0.2482831329107285	0.2361396551132202	0.4358864724636078	0.203591376543045	0.3022559583187103	0.2662405073642731	0.3041393458843231	0.2614763379096985	0.4462542831897736
L4S63	0.7859824299812317	0.8360713720321655	0.8322407007217407	0.817897617816925	0.7823697328567505	0.7596520185470581	0.8040775060653687	0.7885754108428955	0.2475135773420334	0.2753628790378571	0.3452807068824768	0.2960214912891388	0.4213478863239288	0.1542003154754639	0.2170630544424057	0.4025883972644806	0.2958582043647766	0.2758366167545319	0.8353955745697021	0.2036203742027283	0.335669219493866	0	0.4316422343254089	0.4543365240097046	0.6481262445449829	0.4362812936306	0.5276594161987305	0.432136058807373	0.4283742308616638	0.4200396239757538	0.6585259437561035
L5S104	0.7359077930450439	0.7896708846092224	0.7827627062797546	0.7711195945739746	0.7343341112136841	0.7149723768234253	0.7555685043334961	0.7547454833984375	0.4437693059444427	0.3845784664154053	0.4067471325397491	0.3868991136550903	0.2210476845502853	0.3746924102306366	0.3530181050300598	0.2564759850502014	0.4473444521427155	0.4280148148536682	0.7852727174758911	0.3541768193244934	0.2482831329107285	0.4316422343254089	0	0.2028733193874359	0.3791509568691254	0.1748040616512299	0.2441155612468719	0.2249438017606735	0.3266030848026276	0.2510510087013245	0.4096414744853973
L5S155	0.7061675786972046	0.7595985531806946	0.7505187392234802	0.7383863925933838	0.7017443776130676	0.6838763356208801	0.7235753536224365	0.7243542075157166	0.4426484704017639	0.3498358428478241	0.3661812841892242	0.3628756701946259	0.09406758099794388	0.369983971118927	0.3396366834640503	0.3163906335830688	0.4653745889663696	0.3942109346389771	0.7545852065086365	0.3437567353248596	0.2361396551132202	0.4543365240097046	0.2028733193874359	0	0.4046689569950104	0.0917966365814209	0.2342776358127594	0.0913117378950119	0.1749768406152725	0.1124884262681007	0.4125706255435944
L5S174	0.6181636452674866	0.6693441867828369	0.6629194021224976	0.6497425436973572	0.6137579679489136	0.5965855717658997	0.6363662481307983	0.6358188986778259	0.6562482118606567	0.582566499710083	0.5857674479484558	0.569194495677948	0.3927255272865295	0.5940501689910889	0.5752395987510681	0.3710754811763763	0.6803600192070007	0.6226062178611755	0.6664972901344299	0.57622891664505	0.4358864724636078	0.6481262445449829	0.3791509568691254	0.4046689569950104	0	0.3652499914169312	0.253239780664444	0.4180454909801483	0.4613961577415466	0.4147770404815674	0.1511590778827667
L5S203	0.7055945992469788	0.7579178810119629	0.7505906224250793	0.7378962635993958	0.7007158398628235	0.6830964684486389	0.7236471176147461	0.7238746285438538	0.4320696294307709	0.3266676366329193	0.3859035670757294	0.36763796210289	0.1135310158133507	0.356295257806778	0.3288234770298004	0.2547872066497803	0.4554438591003418	0.3835792243480682	0.7536646127700806	0.3321325182914734	0.203591376543045	0.4362812936306	0.1748040616512299	0.0917966365814209	0.3652499914169312	0	0.1854349374771118	0.1319560706615448	0.1900246888399124	0.1357922405004501	0.3612654209136963
L5S222	0.6660863757133484	0.7197924256324768	0.7123361825942993	0.6993329524993896	0.6630133986473083	0.6460254192352295	0.6854817867279053	0.6853999495506287	0.5127017498016357	0.4673917591571808	0.4386855363845825	0.4159002900123596	0.1974308490753174	0.4785200357437134	0.4549516439437866	0.2382430732250214	0.5354934930801392	0.5113295316696167	0.7156686782836914	0.4631326496601105	0.3022559583187103	0.5276594161987305	0.2441155612468719	0.2342776358127594	0.253239780664444	0.1854349374771118	0	0.2287808209657669	0.2816064357757568	0.2077098041772842	0.2305303514003754
L5S240	0.6987337470054626	0.751555323600769	0.7443224191665649	0.7317991256713867	0.6946755647659302	0.6772816181182861	0.7178767919540405	0.7167173624038696	0.4172981679439545	0.3792742192745209	0.3547685444355011	0.3422738015651703	0.0525021143257618	0.3905899524688721	0.3652531504631042	0.32244673371315	0.4391304552555084	0.419160783290863	0.7471991777420044	0.3712829351425171	0.2662405073642731	0.432136058807373	0.2249438017606735	0.0913117378950119	0.4180454909801483	0.1319560706615448	0.2287808209657669	0	0.1346247345209122	0.06437724828720093	0.3940008282661438
L6S20	0.6795459985733032	0.7325830459594727	0.7243610620498657	0.7120163440704346	0.6750811338424683	0.657550573348999	0.6973780393600464	0.6979024410247803	0.4260817468166351	0.4067382216453552	0.3364325761795044	0.3544963002204895	0.1341750472784042	0.4084067940711975	0.3790621161460876	0.3694815635681152	0.4266651272773743	0.4354693293571472	0.72728031873703	0.3869971930980682	0.3041393458843231	0.4283742308616638	0.3266030848026276	0.1749768406152725	0.4613961577415466	0.1900246888399124	0.2816064357757568	0.1346247345209122	0	0.1100826114416122	0.4166249632835388
L6S68	0.6949717998504639	0.7475707530975342	0.7399340271949768	0.7277564406394958	0.6909584403038025	0.6739470362663269	0.7137980461120605	0.7125076651573181	0.4047751128673553	0.3692676424980164	0.345536857843399	0.3363169133663177	0.04536516219377518	0.3803571462631226	0.3583524227142334	0.3041844367980957	0.429626077413559	0.4147935509681702	0.7440836429595947	0.3636113405227661	0.2614763379096985	0.4200396239757538	0.2510510087013245	0.1124884262681007	0.4147770404815674	0.1357922405004501	0.2077098041772842	0.06437724828720093	0.1100826114416122	0	0.3858569860458374
