	ERR1458715	ERR1458739	ERR1458746	ERR1458747	ERR1458750	ERR1458752	ERR1458793	ERR1458809	ERR1458829	ERR1458831	ERR1458855	ERR1458857	ERR1458868	ERR1458871	ERR1458881	ERR1458883	ERR1458893	ERR1458899	ERR1458906	ERR1458915	ERR1458929	ERR1458931	ERR1458936	ERR1458937	ERR1458942	ERR1458974	ERR1458980	ERR1458992	ERR1458999	ERR1459008	ERR1459028	ERR1459033	ERR1459034	ERR1459037	ERR1459045	ERR1459063	ERR1459072	ERR1459099	ERR1459109	ERR1459110	ERR1459123	ERR1459124	ERR1459126	ERR1459131	ERR1459142	ERR1459146	ERR1459147	ERR1459152	ERR1459162	ERR1459172	ERR1459203	ERR1459204	ERR2056799
ERR1458855	0.4956406950950623	0.3254568874835968	0.1317178010940552	0.2048097103834152	0.3123915791511536	0.2136256396770477	0.2712439000606537	0.2079662382602692	0.2682376205921173	0.2954420745372772	0	0.638181746006012	0.2483390122652054	0.1977930814027786	0.3689888715744019	0.2577017247676849	0.2545018792152405	0.2528018653392792	0.392897367477417	0.4405282735824585	0.5887155532836914	0.3050981760025024	0.1633812189102173	0.2382189184427261	0.2707531154155731	0.2449746578931808	0.2750356495380402	0.2828173339366913	0.2739229500293732	0.2681583762168884	0.2920404672622681	0.2035437673330307	0.2510655224323273	0.2366710901260376	0.2265628725290298	0.3081371486186981	0.2367266863584518	0.2046703696250916	0.2311003059148788	0.4224033355712891	0.1502415090799332	0.3785410523414612	0.1872309297323227	0.2083735018968582	0.3530941009521484	0.2769497036933899	0.403486579656601	0.2182496339082718	0.2929394245147705	0.3594020307064056	0.3538271188735962	0.2083618640899658	0.2628204524517059
ERR1458857	0.3555997014045715	0.5838854312896729	0.62535160779953	0.6759240031242371	0.5938445925712585	0.6522675156593323	0.6731088161468506	0.5953861474990845	0.6007349491119385	0.569751501083374	0.638181746006012	0	0.5969704985618591	0.6039183139801025	0.5321860313415527	0.5347493290901184	0.6156739592552185	0.6470786929130554	0.7020210027694702	0.6757534146308899	0.3795510232448578	0.5546497702598572	0.6161003112792969	0.5824379920959473	0.5718414783477783	0.5735327005386353	0.5872964262962341	0.6154903769493103	0.5875831842422485	0.5894787311553955	0.5586352348327637	0.6436465978622437	0.6581310033798218	0.6527285575866699	0.599543035030365	0.6398143768310547	0.5791468024253845	0.6319644451141357	0.627660870552063	0.5548643469810486	0.6450456380844116	0.5336558818817139	0.630465030670166	0.6371923685073853	0.6731237173080444	0.5797264575958252	0.541429877281189	0.5938551425933838	0.5752730965614319	0.5641638040542603	0.5780112743377686	0.5434815883636475	0.6343550682067871
ERR1458868	0.394044041633606	0.1996175050735474	0.2513918876647949	0.291710764169693	0.1887943595647812	0.2271354347467422	0.2721924781799316	0.2341234683990479	0.2020227015018463	0.2048166692256927	0.2483390122652054	0.5969704985618591	0	0.1741180419921875	0.2641330063343048	0.2593441307544708	0.2206946164369583	0.2856440544128418	0.4203684628009796	0.3229326903820038	0.4989282488822937	0.2094277292490005	0.2206554412841797	0.1830456107854843	0.2038625627756119	0.1559628248214722	0.1734524816274643	0.2108771651983261	0.1775136142969131	0.2788278460502625	0.2347016930580139	0.2541972696781158	0.2422275990247726	0.235821932554245	0.262701690196991	0.3181450366973877	0.2856581509113312	0.2336862087249756	0.2875483632087708	0.3197034895420074	0.2777159214019775	0.2750285267829895	0.2465856671333313	0.2580080628395081	0.4016554057598114	0.1673856675624847	0.2957817018032074	0.2942678034305573	0.1836713850498199	0.2252115458250046	0.2501830458641052	0.2236829996109009	0.3000345230102539
ERR1458871	0.4176803231239319	0.2287109941244125	0.1743726581335068	0.1673583537340164	0.2074002027511597	0.2045237869024277	0.2457590699195862	0.232087641954422	0.1954999268054962	0.1954032778739929	0.1977930814027786	0.6039183139801025	0.1741180419921875	0	0.2712590396404266	0.2348161041736603	0.1708376854658127	0.2678515911102295	0.4259406626224518	0.3502252697944641	0.5091548562049866	0.2373975068330765	0.1657136380672455	0.1872727125883102	0.1746731847524643	0.1644617021083832	0.1901654899120331	0.2346609383821487	0.2238720506429672	0.2570076286792755	0.1947829574346542	0.1849317103624344	0.2589909136295319	0.2482140511274338	0.2449817359447479	0.3305740356445312	0.2396143525838852	0.1646287739276886	0.2292101085186005	0.3202502131462097	0.1982136070728302	0.27406245470047	0.1568953692913055	0.186065286397934	0.3227482438087463	0.1809769123792648	0.3027823269367218	0.2067573070526123	0.1871266067028046	0.2533005774021149	0.2624695003032684	0.211298793554306	0.3057102560997009
ERR1458881	0.2189422398805618	0.1860982179641724	0.3535141348838806	0.3893207311630249	0.2039583176374435	0.3809130191802979	0.3949671387672424	0.3596043288707733	0.3136333525180817	0.1302608549594879	0.3689888715744019	0.5321860313415527	0.2641330063343048	0.2712590396404266	0	0.3444402515888214	0.3321717083454132	0.3710454106330872	0.4933894276618958	0.2700789272785187	0.3683052062988281	0.2515834271907806	0.3565686643123627	0.3128292858600616	0.2261884808540344	0.1985266655683517	0.2004897445440292	0.3219501078128815	0.3143079280853271	0.3380937278270721	0.1790104508399963	0.3639726638793945	0.3827455937862396	0.3763189017772675	0.3539332449436188	0.4106125235557556	0.3210367262363434	0.356688529253006	0.3454042971134186	0.1164736971259117	0.3849550783634186	0.09696493297815323	0.3542008697986603	0.3562589287757874	0.4508508443832397	0.233226865530014	0.09689237177371979	0.3754022717475891	0.151306539773941	0.1372188329696655	0.1570448130369186	0.3256036937236786	0.4033694863319397
ERR1458883	0.4640742540359497	0.3101823925971985	0.26445472240448	0.2980301976203918	0.2941111326217651	0.2878903448581696	0.3168837130069733	0.2321621775627136	0.2612107396125793	0.2896401882171631	0.2577017247676849	0.5347493290901184	0.2593441307544708	0.2348161041736603	0.3444402515888214	0	0.255248099565506	0.2777459919452667	0.3348526358604431	0.4189030528068542	0.5618398189544678	0.2082700431346893	0.2333508133888245	0.2194492369890213	0.2538970708847046	0.2457283288240433	0.2663441002368927	0.274279922246933	0.2209207117557526	0.2841001451015472	0.290831983089447	0.2785776853561401	0.2647915482521057	0.2591886520385742	0.2671890556812286	0.2473747432231903	0.288269966840744	0.2484671771526337	0.3069846928119659	0.4053596556186676	0.2741893529891968	0.3691624402999878	0.2633791863918304	0.2749381065368652	0.2884851396083832	0.2692414820194244	0.3864860534667969	0.260341465473175	0.2819589972496033	0.3210997879505157	0.3375845551490784	0.1868690103292465	0.2403024882078171
ERR1458893	0.4749372005462646	0.2891115546226501	0.2360276132822037	0.2568926215171814	0.2453914880752563	0.1498283296823502	0.1499097943305969	0.2228008806705475	0.1446506381034851	0.2454326301813126	0.2545018792152405	0.6156739592552185	0.2206946164369583	0.1708376854658127	0.3321717083454132	0.255248099565506	0	0.1811230778694153	0.416679322719574	0.389607310295105	0.5654119253158569	0.269975870847702	0.1923740357160568	0.2533782720565796	0.2190398871898651	0.2112751305103302	0.2284930646419525	0.1991507411003113	0.2266340553760529	0.1841056346893311	0.2269364297389984	0.2083373069763184	0.229135200381279	0.1767330169677734	0.2055273652076721	0.3062933087348938	0.196929469704628	0.1782207787036896	0.3180266618728638	0.3774997889995575	0.2542210221290588	0.3284339010715485	0.167299747467041	0.2528010010719299	0.2899903357028961	0.1849561780691147	0.363100677728653	0.2013837546110153	0.2511142790317535	0.302919328212738	0.2631530463695526	0.209695890545845	0.278750091791153
ERR1458899	0.5075249075889587	0.3459284901618958	0.25323885679245	0.3062067925930023	0.3039511740207672	0.1839029490947723	0.1880332678556442	0.2366372793912888	0.1890674233436584	0.311786949634552	0.2528018653392792	0.6470786929130554	0.2856440544128418	0.2678515911102295	0.3710454106330872	0.2777459919452667	0.1811230778694153	0	0.4200557768344879	0.4285651445388794	0.5983757972717285	0.3218318819999695	0.2199857980012894	0.3345990777015686	0.2775719165802002	0.2731519043445587	0.282463937997818	0.2231105268001556	0.2783234715461731	0.1972194612026215	0.2838030159473419	0.2279662638902664	0.2316174656152725	0.1643817722797394	0.1906386315822601	0.3128692507743835	0.2019417583942413	0.2301279306411743	0.3466040790081024	0.4190713167190552	0.2727709412574768	0.3719011843204498	0.1785630434751511	0.2816183269023895	0.3340975046157837	0.2207899391651154	0.4011328220367432	0.2472857534885406	0.3160258233547211	0.3350221216678619	0.2978808283805847	0.2605783939361572	0.2795315682888031
ERR1458906	0.6029418110847473	0.4885264933109283	0.4118191301822662	0.4337573349475861	0.464565247297287	0.4201957881450653	0.4499280154705048	0.3848218619823456	0.4116930365562439	0.4590676128864288	0.392897367477417	0.7020210027694702	0.4203684628009796	0.4259406626224518	0.4933894276618958	0.3348526358604431	0.416679322719574	0.4200557768344879	0	0.5822026133537292	0.6964154839515686	0.3140728175640106	0.3866954445838928	0.3757910430431366	0.4322349429130554	0.4307388961315155	0.439518928527832	0.4256311655044556	0.3940656781196594	0.4223440885543823	0.4106779098510742	0.4274897575378418	0.4197145104408264	0.3955313861370087	0.4155385196208954	0.2156513035297394	0.4034395813941956	0.4106651246547699	0.4585989117622375	0.533163845539093	0.4112721085548401	0.4942086935043335	0.3952701687812805	0.4220849573612213	0.2259303629398346	0.4119472503662109	0.5152732729911804	0.4366308152675629	0.4722104668617249	0.4895660281181335	0.4660962224006653	0.3633659780025482	0.2583868503570557
ERR1458915	0.4066630601882935	0.2661110758781433	0.4238254725933075	0.4545072615146637	0.2815158665180206	0.4362921714782715	0.436074823141098	0.4073656499385834	0.3666480183601379	0.2479476183652878	0.4405282735824585	0.6757534146308899	0.3229326903820038	0.3502252697944641	0.2700789272785187	0.4189030528068542	0.389607310295105	0.4285651445388794	0.5822026133537292	0	0.5030379295349121	0.3503606021404266	0.4108777046203613	0.3779700398445129	0.3346916735172272	0.2733727693557739	0.2831741273403168	0.374129056930542	0.3615250289440155	0.4382923245429993	0.3201236128807068	0.4211435914039612	0.425573855638504	0.4236080050468445	0.428857684135437	0.4545363783836365	0.4287494122982025	0.4123149514198303	0.4243101477622986	0.3229564726352692	0.4431916177272797	0.2766199707984924	0.4132822453975677	0.4178813099861145	0.5334454774856567	0.3292044103145599	0.3086343109607697	0.4471963047981262	0.2215944826602936	0.229448601603508	0.3157248198986053	0.3900598287582397	0.4595746695995331
