	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S294	L3S313	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L2S204	0.678537905216217	0.726179838180542	0.7108145356178284	0.7025218605995178	0.6689043045043945	0.6375967264175415	0.6818315982818604	0.6750654578208923	0.3174136281013489	0.4117029011249542	0	0.180983230471611	0.3427915871143341	0.3158402442932129	0.3423207402229309	0.3963876366615295	0.3436554074287415	0.4376518428325653	0.7209256887435913	0.3245759010314941	0.3267236053943634	0.3426381349563599	0.4062170684337616	0.3635802268981934	0.6078596115112305	0.3727825582027435	0.4240730106830597	0.3415353298187256	0.3318468928337097	0.3455325365066528	0.5205566883087158
L2S222	0.7179914116859436	0.7655489444732666	0.7521827220916748	0.7437453269958496	0.7091346383094788	0.6787540912628174	0.723946750164032	0.7113763689994812	0.3348774313926697	0.4102130234241486	0.180983230471611	0	0.3364241719245911	0.3168235421180725	0.3541786670684814	0.3819628953933716	0.3637501299381256	0.4463123679161072	0.7611842751502991	0.3337579667568207	0.3122250139713287	0.3287227749824524	0.3877879083156586	0.3646618723869324	0.6030715107917786	0.3647305071353912	0.4104649424552917	0.3421398997306824	0.3566793203353882	0.3409072756767273	0.5233274102210999
L2S240	0.7046663165092468	0.7521600723266602	0.7394968271255493	0.7321991324424744	0.6952197551727295	0.6699796319007874	0.7123901844024658	0.7107365131378174	0.3972518146038055	0.3613432943820953	0.3427915871143341	0.3364241719245911	0	0.3703517317771912	0.3480426371097565	0.2808440029621124	0.4313711225986481	0.4030425846576691	0.7479022741317749	0.3535022139549255	0.253970593214035	0.4224840402603149	0.2246125936508179	0.09590397775173187	0.4269834756851196	0.09812480211257935	0.1793415695428848	0.0593886598944664	0.1318990737199783	0.03674346208572388	0.3315236568450928
L2S309	0.7537803053855896	0.8003933429718018	0.7862582802772522	0.7771021127700806	0.7432438731193542	0.7129358053207397	0.7585247159004211	0.7482620477676392	0.254232257604599	0.2263240963220596	0.3158402442932129	0.3168235421180725	0.3703517317771912	0	0.1357022970914841	0.3591839373111725	0.3108668029308319	0.2094641029834747	0.7952454686164856	0.1187067627906799	0.2313137054443359	0.168867290019989	0.3657272160053253	0.3605477511882782	0.6222352981567383	0.357107400894165	0.4599559605121613	0.3929046094417572	0.416915088891983	0.3677004873752594	0.5898299813270569
L2S357	0.7650110125541687	0.8068307638168335	0.7890166640281677	0.7806711196899414	0.7459187507629395	0.7173366546630859	0.761533260345459	0.7548449039459229	0.2202462255954742	0.2060297131538391	0.3423207402229309	0.3541786670684814	0.3480426371097565	0.1357022970914841	0	0.3579829037189484	0.2434592992067337	0.1568225622177124	0.8005663752555847	0.09472694247961044	0.2088378965854645	0.2077609449625015	0.3444649279117584	0.3320829570293427	0.608659029006958	0.3328976929187775	0.4379523396492004	0.3692613244056702	0.3907204866409302	0.347701758146286	0.5699710249900818
L2S382	0.699065625667572	0.7443597912788391	0.7322218418121338	0.7235138416290283	0.6883978843688965	0.6610167026519775	0.7059296369552612	0.7008821964263916	0.4176099896430969	0.363239973783493	0.3963876366615295	0.3819628953933716	0.2808440029621124	0.3591839373111725	0.3579829037189484	0	0.4736745059490204	0.4065144062042236	0.7407821416854858	0.3573640584945679	0.2360333055257797	0.4158851206302643	0.2754322588443756	0.336188793182373	0.4133464097976685	0.2653324604034424	0.229249119758606	0.3141524195671082	0.3567742705345154	0.2917269170284271	0.3515026569366455
L3S294	0.8095949292182922	0.8500683307647705	0.8341976404190063	0.8250804543495178	0.7910586595535278	0.7615028023719788	0.8062219023704529	0.8011260628700256	0.1447760015726089	0.251604288816452	0.3436554074287415	0.3637501299381256	0.4313711225986481	0.3108668029308319	0.2434592992067337	0.4736745059490204	0	0.2325075566768646	0.8437578082084656	0.2835352122783661	0.3446730077266693	0.2801500856876373	0.4497707784175873	0.4602340459823608	0.7101407647132874	0.4573473632335663	0.5237787961959839	0.4461490213871002	0.4386766850948334	0.4321447908878326	0.6346510648727417
L3S313	0.7853888273239136	0.8346034288406372	0.8220792412757874	0.8136249780654907	0.779407262802124	0.7505146861076355	0.794599175453186	0.7908085584640503	0.2239365130662918	0.09579864144325256	0.4376518428325653	0.4463123679161072	0.4030425846576691	0.2094641029834747	0.1568225622177124	0.4065144062042236	0.2325075566768646	0	0.8305577039718628	0.1883721947669983	0.2635016739368439	0.2721412181854248	0.4182731211185455	0.3819948136806488	0.6509957909584045	0.38265261054039	0.493265688419342	0.4213111996650696	0.4450984597206116	0.3994559049606323	0.6244520545005798
L3S378	0.1173676922917366	0.05870101973414421	0.09861187636852264	0.1397925168275833	0.1480336636304855	0.1609914004802704	0.0908818393945694	0.1459407806396484	0.8495422601699829	0.824409544467926	0.7209256887435913	0.7611842751502991	0.7479022741317749	0.7952454686164856	0.8005663752555847	0.7407821416854858	0.8437578082084656	0.8305577039718628	0	0.8004880547523499	0.7566615343093872	0.8488367795944214	0.7881423234939575	0.7612700462341309	0.6526886820793152	0.7589840888977051	0.720064103603363	0.7440930604934692	0.7292100787162781	0.7459632158279419	0.6334539651870728
L4S112	0.7610682249069214	0.806440532207489	0.7902961373329163	0.7829562425613403	0.7483426928520203	0.7178705930709839	0.7621253132820129	0.7562575936317444	0.2559303939342499	0.2060505300760269	0.3245759010314941	0.3337579667568207	0.3535022139549255	0.1187067627906799	0.09472694247961044	0.3573640584945679	0.2835352122783661	0.1883721947669983	0.8004880547523499	0	0.2033204883337021	0.2007495760917664	0.3409456014633179	0.3281688392162323	0.6091239452362061	0.3289853632450104	0.4458977878093719	0.3768115639686584	0.3989989757537842	0.354283481836319	0.5771332979202271
L4S137	0.7123923301696777	0.7605061531066895	0.7488881945610046	0.7394303679466248	0.7046611309051514	0.6746126413345337	0.7198218107223511	0.7152631282806396	0.3060575425624847	0.217791274189949	0.3267236053943634	0.3122250139713287	0.253970593214035	0.2313137054443359	0.2088378965854645	0.2360333055257797	0.3446730077266693	0.2635016739368439	0.7566615343093872	0.2033204883337021	0	0.3098313510417938	0.2705560326576233	0.2373081743717194	0.5089118480682373	0.2155128866434097	0.3166294395923615	0.2742152214050293	0.3041072189807892	0.2564256191253662	0.4464426338672638
L4S63	0.803942859172821	0.8524776101112366	0.8403645753860474	0.8313387632369995	0.7971085906028748	0.7672730684280396	0.8121935129165649	0.7957832813262939	0.247333899140358	0.2930931746959686	0.3426381349563599	0.3287227749824524	0.4224840402603149	0.168867290019989	0.2077609449625015	0.4158851206302643	0.2801500856876373	0.2721412181854248	0.8488367795944214	0.2007495760917664	0.3098313510417938	0	0.4137651026248932	0.4455879926681519	0.6782583594322205	0.4389687180519104	0.516594409942627	0.439695805311203	0.4430303871631622	0.4219125509262085	0.6275432109832764
L5S104	0.7449566125869751	0.7931104302406311	0.7806154489517212	0.7727741599082947	0.737719714641571	0.7111111283302307	0.7536911964416504	0.7511033415794373	0.4373424649238586	0.3749412298202515	0.4062170684337616	0.3877879083156586	0.2246125936508179	0.3657272160053253	0.3444649279117584	0.2754322588443756	0.4497707784175873	0.4182731211185455	0.7881423234939575	0.3409456014633179	0.2705560326576233	0.4137651026248932	0	0.2245219647884369	0.433036595582962	0.1737565994262695	0.2476001083850861	0.2291592955589294	0.3278427422046661	0.2449613064527512	0.396966964006424
L5S155	0.7183113694190979	0.7664612531661987	0.752108097076416	0.7444005608558655	0.7090995907783508	0.683599591255188	0.7259455323219299	0.7241265177726746	0.4256545305252075	0.3332021832466125	0.3635802268981934	0.3646618723869324	0.09590397775173187	0.3605477511882782	0.3320829570293427	0.336188793182373	0.4602340459823608	0.3819948136806488	0.7612700462341309	0.3281688392162323	0.2373081743717194	0.4455879926681519	0.2245219647884369	0	0.4583784341812134	0.08615026623010635	0.2358553558588028	0.08057179301977158	0.1675355583429337	0.09969373047351837	0.3856910467147827
L5S174	0.6107572913169861	0.657318651676178	0.6446844935417175	0.6371592879295349	0.6002675294876099	0.5761757493019104	0.6178690195083618	0.6153052449226379	0.6766391396522522	0.6145595908164978	0.6078596115112305	0.6030715107917786	0.4269834756851196	0.6222352981567383	0.608659029006958	0.4133464097976685	0.7101407647132874	0.6509957909584045	0.6526886820793152	0.6091239452362061	0.5089118480682373	0.6782583594322205	0.433036595582962	0.4583784341812134	0	0.4126385450363159	0.3029387295246124	0.4450823068618774	0.4871763288974762	0.4398747682571411	0.1999368220567703
L5S203	0.7161499857902527	0.7632606029510498	0.7506385445594788	0.7432743310928345	0.7066744565963745	0.6815340518951416	0.7241414785385132	0.7223931550979614	0.4222632348537445	0.3303211629390717	0.3727825582027435	0.3647305071353912	0.09812480211257935	0.357107400894165	0.3328976929187775	0.2653324604034424	0.4573473632335663	0.38265261054039	0.7589840888977051	0.3289853632450104	0.2155128866434097	0.4389687180519104	0.1737565994262695	0.08615026623010635	0.4126385450363159	0	0.1753350794315338	0.1102752611041069	0.1793738156557083	0.1079989448189735	0.3229030966758728
