	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S294	L3S313	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L2S204	0.9827742520398912	0.9909338168631007	0.986400725294651	0.9909338168631007	0.9918404351767905	0.9836808703535811	0.9836808703535811	0.9791477787851315	0.8159564823209429	0.8159564823209429	0.0	0.7352674524025385	0.9456029011786038	0.7506799637352675	0.6790571169537625	0.9084315503173164	0.844061650045331	0.8359020852221215	0.9981867633726201	0.7280145058930191	0.8766999093381687	0.7416137805983681	0.9193109700815957	0.9610154125113327	0.9610154125113327	0.9519492293744334	0.9483227561196736	0.9519492293744334	0.9592021758839528	0.942883046237534	0.9392565729827742
L2S222	0.9782411604714415	0.9900271985494107	0.9900271985494107	0.9936536718041704	0.9927470534904805	0.9845874886672711	0.9782411604714415	0.9836808703535811	0.7842248413417952	0.7615593834995467	0.7352674524025385	0.0	0.9347234814143246	0.786038077969175	0.8241160471441523	0.8785131459655485	0.8331822302810517	0.8105167724388033	0.9927470534904805	0.7733454215775158	0.8495013599274706	0.7198549410698096	0.9410698096101541	0.9528558476881233	0.9528558476881233	0.9446962828649139	0.9410698096101541	0.9392565729827742	0.9528558476881233	0.929283771532185	0.929283771532185
L2S240	0.99909338168631	0.99909338168631	0.9963735267452403	1.0	1.0	1.0	1.0	0.9945602901178604	0.8948322756119673	0.8422484134179511	0.9456029011786038	0.9347234814143246	0.0	0.8522212148685403	0.8259292837715322	0.8549410698096102	0.9419764279238441	0.8485947416137806	0.9936536718041704	0.8114233907524931	0.7960108794197642	0.8930190389845875	0.4134179510426111	0.46600181323662737	0.5593834995466909	0.4215775158658205	0.45602901178603805	0.14233907524932005	0.3599274705349048	0.20942883046237534	0.39075249320036265
L2S309	0.9764279238440616	0.9728014505893019	0.9592021758839528	0.970081595648232	0.958295557570263	0.9755213055303718	0.9773345421577516	0.9873073436083409	0.6790571169537625	0.5666364460562103	0.7506799637352675	0.786038077969175	0.8522212148685403	0.0	0.4016319129646419	0.7642792384406165	0.7533998186763372	0.5176790571169537	0.971894832275612	0.43880326382592927	0.6600181323662738	0.4514959202175884	0.8304623753399819	0.8739800543970988	0.914777878513146	0.8549410698096102	0.8957388939256573	0.8676337262012692	0.9075249320036265	0.8250226654578422	0.8540344514959202
L2S357	0.9836808703535811	0.9900271985494107	0.985494106980961	0.9900271985494107	0.9909338168631007	0.9845874886672711	0.9845874886672711	0.9800543970988214	0.6699909338168631	0.5557570262919311	0.6790571169537625	0.8241160471441523	0.8259292837715322	0.4016319129646419	0.0	0.7479601087941976	0.7153218495013599	0.5022665457842248	0.9963735267452403	0.26835902085222124	0.6092475067996374	0.5321849501359928	0.8041704442429737	0.8594741613780599	0.8912058023572076	0.8377153218495014	0.8803263825929284	0.8404351767905711	0.8848594741613781	0.8050770625566637	0.8259292837715322
L2S382	0.9945602901178604	0.99909338168631	0.9945602901178604	0.99909338168631	1.0	1.0	1.0	0.9954669084315503	0.7760652765185857	0.7398005439709883	0.9084315503173164	0.8785131459655485	0.8549410698096102	0.7642792384406165	0.7479601087941976	0.0	0.8658204895738894	0.7679057116953762	0.9981867633726201	0.7343608340888486	0.5013599274705349	0.8096101541251133	0.8340888485947416	0.85766092475068	0.8930190389845875	0.8213961922030825	0.8875793291024479	0.8703535811423391	0.9057116953762466	0.8213961922030825	0.8322756119673618
L3S294	1.0	0.99909338168631	0.9945602901178604	0.99909338168631	1.0	1.0	1.0	0.9954669084315503	0.3499546690843155	0.6654578422484134	0.844061650045331	0.8331822302810517	0.9419764279238441	0.7533998186763372	0.7153218495013599	0.8658204895738894	0.0	0.6264732547597461	0.9981867633726201	0.7225747960108794	0.8295557570262919	0.7615593834995467	0.927470534904805	0.9528558476881233	0.9510426110607434	0.9229374433363554	0.9446962828649139	0.9519492293744334	0.9637352674524026	0.9356300997280145	0.9329102447869447
L3S313	0.9818676337262012	0.9936536718041704	0.9900271985494107	0.9945602901178604	0.9954669084315503	0.9900271985494107	0.9900271985494107	0.985494106980961	0.5829555757026292	0.329102447869447	0.8359020852221215	0.8105167724388033	0.8485947416137806	0.5176790571169537	0.5022665457842248	0.7679057116953762	0.6264732547597461	0.0	0.9981867633726201	0.5004533091568449	0.6935630099728014	0.6264732547597461	0.8223028105167725	0.814143245693563	0.8703535811423391	0.815049864007253	0.8812330009066183	0.8649138712601995	0.9211242067089755	0.85675430643699	0.8730734360834089
L3S378	0.7262012692656392	0.24932003626473254	0.3825929283771532	0.46237533998186764	0.4397098821396192	0.7615593834995467	0.757026291931097	0.729827742520399	0.9972801450589301	0.9981867633726201	0.9981867633726201	0.9927470534904805	0.9936536718041704	0.971894832275612	0.9963735267452403	0.9981867633726201	0.9981867633726201	0.9981867633726201	0.0	0.9981867633726201	0.9981867633726201	0.9963735267452403	0.9981867633726201	0.9909338168631007	0.9981867633726201	0.9963735267452403	0.9981867633726201	0.9954669084315503	0.9963735267452403	0.9963735267452403	0.9963735267452403
L4S112	0.9836808703535811	0.9882139619220308	0.985494106980961	0.9900271985494107	0.9909338168631007	0.985494106980961	0.985494106980961	0.9800543970988214	0.6545784224841342	0.5249320036264733	0.7280145058930191	0.7733454215775158	0.8114233907524931	0.43880326382592927	0.26835902085222124	0.7343608340888486	0.7225747960108794	0.5004533091568449	0.9981867633726201	0.0	0.5893019038984587	0.5376246600181324	0.8059836808703535	0.8395285584768812	0.8712601994560291	0.8159564823209429	0.8730734360834089	0.8368087035358114	0.8848594741613781	0.8023572076155938	0.8186763372620127
