	shannon_entropy
ERR1458886	4.245857060616558
ERR1458889	5.277505895585746
ERR1458891	4.575234706155255
ERR1458892	2.7797869253273224
ERR1458893	5.555861118884273
ERR1458896	3.9022799334342015
ERR1458897	5.234146401200332
ERR1458898	5.543067081975102
ERR1458899	6.371814473471536
ERR1458901	4.283828291253989
ERR1458902	4.636699623674254
ERR1458903	3.926329740757681
ERR1458904	4.657219926998947
ERR1458905	6.594833885967042
ERR1458906	4.949192169013206
ERR1458907	3.3432857394589024
ERR1458908	5.965526222756775
ERR1458909	5.202561124559828
ERR1458910	4.704326648984492
ERR1458911	3.9569449365462708
ERR1458912	3.887914473896458
ERR1458913	5.369106503376166
ERR1458914	6.278344908438381
ERR1458915	3.9934931610121804
ERR1458916	5.4871876958820325
ERR1458917	4.423633004469146
ERR1458918	5.798851863562737
ERR1458919	5.812067360199128
ERR1458920	6.207002449336469
ERR1458921	4.110008313620336
ERR1458922	3.893455431038007
ERR1458923	4.94796666128932
ERR1458924	6.471299517730178
ERR1458925	6.38385199367829
ERR1458926	3.698817427377182
ERR1458927	2.4018926981846658
ERR1458928	3.7877460282028346
ERR1458929	2.295212832650913
ERR1458930	6.060299938607675
ERR1458931	4.738266973168036
ERR1458932	6.035776652138406
ERR1458933	4.373954487420574
ERR1458935	3.9095035807175473
ERR1458936	6.472629192741279
ERR1458937	4.799704475824824
ERR1458938	6.809901441628091
ERR1458939	4.9696038777285905
ERR1458940	4.160908733190252
ERR1458941	6.700362576271062
ERR1458942	4.771656568591946
ERR1458943	4.5345509518322356
ERR1458944	5.447337270245057
ERR1458946	5.70169141793251
ERR1458947	3.412545121227022
ERR1458948	5.636969471521269
ERR1458949	4.381490656363927
ERR1458950	5.933729070054968
ERR1458951	3.2331513440336983
ERR1458952	3.539080199554693
ERR1458953	4.31497296801966
ERR1458954	3.563664441961966
ERR1458955	5.645398251642996
ERR1458957	4.445825344041752
ERR1458958	2.820192352825766
ERR1458959	1.7495570908652147
ERR1458960	6.349353172346352
ERR1458961	4.621083996645755
ERR1458962	5.874700902732297
ERR1458963	5.228895063681507
ERR1458965	4.590676838942853
ERR1458966	3.832085782250184
ERR1458967	5.295740350042173
ERR1458968	4.6287112469906635
ERR1458969	3.793456524008878
ERR1458973	5.478634145997887
ERR1458974	4.116809805693299
ERR1458975	3.6364546539097122
ERR1458976	4.721128576052121
ERR1458977	5.599144727611195
ERR1458978	4.060438329019309
ERR1458979	6.346513053376018
ERR1458980	4.3969787903033035
ERR1458981	5.827093319802748
ERR1458982	3.274619907110576
ERR1458983	5.692012397832378
ERR1458984	5.190390158290733
ERR1458985	4.85398767123546
ERR1458986	3.540184315088102
ERR1458987	5.721948749393629
ERR1458988	5.963730787180828
ERR1458989	4.0871565541957064
ERR1458991	3.652322332941759
ERR1458992	5.918603998858688
ERR1458993	5.823381614716309
ERR1458994	4.626521506423779
ERR1458995	4.279345122766048
ERR1458996	1.9962606672330243
ERR1458997	5.59209856818748
ERR1458998	5.695313397209743
ERR1458999	6.10715651899806
ERR1459001	4.329555045005565
ERR1459003	5.368501757691533
ERR1459004	5.072804805940957
ERR1459005	4.3867303031937634
ERR1459006	5.947525387628458
ERR1459008	6.901982221626911
ERR1459009	3.112134521432617
ERR1459010	5.314815368143049
ERR1459011	4.92392995422447
ERR1459012	4.772041919053073
ERR1459013	5.066246678698081
ERR1459014	5.7399319630973755
ERR1459015	6.030720659172994
ERR1459016	4.915628971005638
ERR1459017	4.522621327264766
ERR1459018	4.4805682184200295
ERR1459019	4.676871495688899
ERR1459020	3.899315192799685
ERR1459021	3.3700659585403248
ERR1459023	4.817293497751631
ERR1459024	6.439515468868295
ERR1459025	5.403721074122819
ERR1459026	5.7382865352054795
ERR1459027	5.58161421061361
ERR1459028	3.8319625285043055
ERR1459029	5.677370099994005
ERR1459030	2.1406301049847296
ERR1459031	5.534445619377511
ERR1459032	5.600735602440966
ERR1459033	5.425991285746306
ERR1459034	6.019512809493045
ERR1459035	6.238716451306262
ERR1459036	5.8089836602469065
ERR1459037	6.226910679114672
ERR1459038	5.703120594923045
ERR1459039	3.9135665350622664
ERR1459040	5.317684454027692
ERR1459042	6.059060566110667
ERR1459043	3.868716452225377
ERR1459044	4.215296876176686
ERR1459045	5.705065187797458
