	simpson
ERR1459004	0.9453005568996155
ERR1459005	0.901031545144216
ERR1459006	0.9531839195506573
ERR1459008	0.9840016635028715
ERR1459009	0.668281442465251
ERR1459010	0.9609957766286976
ERR1459011	0.9279700324025195
ERR1459012	0.8222941894283335
ERR1459013	0.9265978879638791
ERR1459014	0.9643617730609806
ERR1459015	0.973091499061105
ERR1459016	0.9136728214392876
ERR1459017	0.8992751800343936
ERR1459018	0.910361576238223
ERR1459019	0.9079047298709312
ERR1459020	0.8927762132683571
ERR1459021	0.8318253979733274
ERR1459023	0.9301522720558396
ERR1459024	0.9781456486420378
ERR1459025	0.9513395260659425
ERR1459026	0.951237674647789
ERR1459027	0.9550111136348225
ERR1459028	0.7568312968930699
ERR1459029	0.9578689651451168
ERR1459030	0.5212838935358912
ERR1459031	0.963943612730837
ERR1459032	0.9314793745665844
ERR1459033	0.9409942349761614
ERR1459034	0.9717386915492338
ERR1459035	0.9730026953437032
ERR1459036	0.9617623176754881
ERR1459037	0.9787527529163553
ERR1459038	0.9587577541545295
ERR1459039	0.8028790871296144
ERR1459040	0.9261497383712243
ERR1459041	0.0
ERR1459042	0.9689445620736085
ERR1459043	0.8969139779715237
ERR1459044	0.8631077868007095
ERR1459045	0.9571929616637478
ERR1459046	0.9645882782808527
ERR1459047	0.9649123103471592
ERR1459048	0.9298858788135415
ERR1459049	0.7971165651165356
ERR1459050	0.926911130197906
ERR1459051	0.9018873027787238
ERR1459052	0.9787067060408767
ERR1459053	0.0
ERR1459054	0.9604418444872647
ERR1459055	0.9136363253096444
ERR1459056	0.7005528312042779
ERR1459057	0.9736578652811654
ERR1459058	0.9609009931578205
ERR1459059	0.9214728563250234
ERR1459060	0.963650222177076
ERR1459061	0.7532761385019453
ERR1459062	0.8185971096455995
ERR1459063	0.9592948216420262
ERR1459064	0.9237541204323657
ERR1459065	0.8123568536054475
ERR1459066	0.9647118763376932
ERR1459067	0.9344919568499133
ERR1459068	0.8309975263119884
ERR1459069	0.9461930556391298
ERR1459070	0.9228032433704223
ERR1459071	0.886743804453941
ERR1459072	0.9562206487635017
ERR1459073	0.9651655079218208
ERR1459074	0.7370061740090723
ERR1459075	0.9038848922160799
ERR1459076	0.9469380669178861
ERR1459077	0.9434230365679758
ERR1459078	0.9647304475071267
ERR1459079	0.8307601049995014
ERR1459080	0.9733965386910141
ERR1459081	0.9610996076361396
ERR1459082	0.9389656764425602
ERR1459083	0.9126480490596106
ERR1459084	0.9531553991397502
ERR1459085	0.9677715473725331
ERR1459086	0.9409551756609467
ERR1459087	0.9681003415911044
ERR1459088	0.965883060660833
ERR1459089	0.9735968142216896
ERR1459090	0.9142741274510507
ERR1459091	0.9277957533238891
ERR1459092	0.6849107656716749
ERR1459093	0.6852466384729876
ERR1459094	0.9770001812254049
ERR1459095	0.9652895291974846
ERR1459096	0.9424218275736471
ERR1459097	0.8285560587114444
ERR1459098	0.9870048474070563
ERR1459099	0.9741806292719595
ERR1459100	0.8684384534797916
ERR1459101	0.5843535003802228
ERR1459102	0.7127349763434785
ERR1459103	0.8190318996972088
ERR1459104	0.9170521101749534
ERR1459105	0.9743991195720824
ERR1459106	0.909842058692061
ERR1459107	0.8702278874687392
ERR1459108	0.9453915643006107
ERR1459109	0.8703606372890158
ERR1459110	0.16283740203062957
ERR1459111	0.9494449823079426
ERR1459112	0.9030566305878027
ERR1459113	0.9819933971760697
ERR1459114	0.8803066556750397
ERR1459115	0.979628470826673
ERR1459116	0.9452150134739836
ERR1459117	0.9781026427191375
ERR1459118	0.9435041954971998
ERR1459119	0.9621087719964493
ERR1459120	0.8813896018210463
ERR1459121	0.9406356987168271
ERR1459122	0.9851811690359272
ERR1459123	0.9583632860872233
ERR1459124	0.5720955256746334
ERR1459125	0.9356719435228598
ERR1459126	0.956817669659371
ERR1459127	0.9312287073977751
ERR1459128	0.8898181847064169
ERR1459129	0.977926107896038
ERR1459130	0.9004452986903021
ERR1459131	0.944999818889076
ERR1459132	0.9360628105295192
