	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S357	L2S382	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L2S204	0.6946455240249634	0.7340656518936157	0.7205379009246826	0.7166610956192017	0.6816730499267578	0.6626317501068115	0.6977740526199341	0.6860259771347046	0.3192241191864014	0.4094119071960449	0	0.1844613552093506	0.3422284424304962	0.3406019806861877	0.4134252369403839	0.3260933458805084	0.3291600346565247	0.3409845232963562	0.4074863493442535	0.3679670393466949	0.6051416993141174	0.3806078732013702	0.4286320507526398	0.3480223417282104	0.3373196125030518	0.3452728390693665	0.5561172962188721
L2S222	0.7014104723930359	0.7417406439781189	0.7301923632621765	0.7250086069107056	0.690951943397522	0.6719987392425537	0.7074070572853088	0.691971480846405	0.3260582089424133	0.3891755044460297	0.1844613552093506	0	0.3126776516437531	0.3374767899513245	0.3697146475315094	0.3074430823326111	0.2802988886833191	0.2938381135463715	0.364532083272934	0.3467288017272949	0.5690810084342957	0.3506816625595093	0.386750727891922	0.326527327299118	0.3340024352073669	0.3181613087654114	0.5254161953926086
L2S240	0.7099723219871521	0.7498448491096497	0.7403638362884521	0.736817479133606	0.7014800310134888	0.6857669949531555	0.7190805673599243	0.7132808566093445	0.4103562533855438	0.3789114654064178	0.3422284424304962	0.3126776516437531	0	0.35237056016922	0.2917287051677704	0.3456343412399292	0.2402811497449875	0.4227748215198517	0.2218779027462006	0.09123466163873672	0.4118000566959381	0.1045588329434395	0.186863124370575	0.04467014223337173	0.1199624761939049	0.04970985651016235	0.3510363399982452
L2S357	0.7742354869842529	0.8088160157203674	0.7935027480125427	0.7898624539375305	0.754921555519104	0.7354066967964172	0.7712430357933044	0.7612377405166626	0.2200926095247269	0.2028317302465439	0.3406019806861877	0.3374767899513245	0.35237056016922	0	0.3522277474403381	0.08321873843669891	0.2357509285211563	0.206021636724472	0.3484548032283783	0.3299376666545868	0.6002249717712402	0.3349428176879883	0.4418844878673553	0.367768257856369	0.3810681402683258	0.3509828150272369	0.5794544219970703
L2S382	0.7000817060470581	0.7371333241462708	0.7297226786613464	0.7257325649261475	0.6913716197013855	0.6738994717597961	0.7101929187774658	0.7011145949363708	0.4231250584125519	0.3657562434673309	0.4134252369403839	0.3697146475315094	0.2917287051677704	0.3522277474403381	0	0.3368487656116486	0.2104372084140778	0.4010322690010071	0.2684127688407898	0.3364246785640717	0.3939609229564667	0.2643251419067383	0.2379506528377533	0.3228712677955627	0.36468505859375	0.3051953017711639	0.3654128611087799
L4S112	0.7566952109336853	0.7951187491416931	0.7828143239021301	0.779758095741272	0.7444446086883545	0.7253215909004211	0.7613423466682434	0.7502466440200806	0.247235432267189	0.1931008845567703	0.3260933458805084	0.3074430823326111	0.3456343412399292	0.08321873843669891	0.3368487656116486	0	0.2295465916395187	0.1782662868499756	0.3466293215751648	0.334127813577652	0.5850759744644165	0.3378679156303406	0.4382734596729279	0.3634514212608337	0.3781494796276093	0.3462502360343933	0.5761294960975647
L4S137	0.7006496787071228	0.741863489151001	0.7354221940040588	0.7303481101989746	0.6967719197273254	0.6774548292160034	0.7128357887268066	0.7026194334030151	0.3504342138767242	0.2578317523002625	0.3291600346565247	0.2802988886833191	0.2402811497449875	0.2357509285211563	0.2104372084140778	0.2295465916395187	0	0.3331162333488464	0.2468478381633759	0.2299877256155014	0.4669337570667267	0.2046309113502502	0.2881009876728058	0.2635759711265564	0.295173317193985	0.2517445683479309	0.4298873543739319
L4S63	0.7934847474098206	0.834720253944397	0.8277652859687805	0.8231756687164307	0.7890220880508423	0.7697060108184814	0.8053280115127563	0.7861818075180054	0.2468959838151932	0.2716272175312042	0.3409845232963562	0.2938381135463715	0.4227748215198517	0.206021636724472	0.4010322690010071	0.1782662868499756	0.3331162333488464	0	0.4345388412475586	0.4463188648223877	0.6635235548019409	0.4463226795196533	0.5134648084640503	0.4388328194618225	0.4303242862224579	0.4170642197132111	0.6446998119354248
L5S104	0.7438573837280273	0.7855969667434692	0.7749606966972351	0.77347332239151	0.7371354103088379	0.7199784517288208	0.7541182041168213	0.7488385438919067	0.449472963809967	0.4003259837627411	0.4074863493442535	0.364532083272934	0.2218779027462006	0.3484548032283783	0.2684127688407898	0.3466293215751648	0.2468478381633759	0.4345388412475586	0	0.209357351064682	0.4026601314544678	0.1709481775760651	0.2386916428804398	0.2236668765544891	0.3180184066295624	0.2475089132785797	0.3848200440406799
L5S155	0.7231435775756836	0.7649372816085815	0.7523090243339539	0.7504457235336304	0.7141950726509094	0.6983349323272705	0.7315008640289307	0.7277705073356628	0.4398163557052612	0.3519124090671539	0.3679670393466949	0.3467288017272949	0.09123466163873672	0.3299376666545868	0.3364246785640717	0.334127813577652	0.2299877256155014	0.4463188648223877	0.209357351064682	0	0.4404748678207397	0.08776561170816422	0.2330276668071747	0.08126487582921982	0.1602673381567001	0.106752373278141	0.3973216414451599
