	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S357	L2S382	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L2S357	0.9888888888888889	0.991358024691358	0.991358024691358	0.9925925925925926	0.9944444444444445	0.9888888888888889	0.9901234567901235	0.9845679012345679	0.6666666666666666	0.5364197530864198	0.6876543209876543	0.8271604938271605	0.8203703703703704	0.0	0.737037037037037	0.2716049382716049	0.5950617283950618	0.5530864197530864	0.8135802469135802	0.8691358024691358	0.8919753086419753	0.832716049382716	0.8876543209876543	0.8277777777777777	0.8629629629629629	0.8141975308641975	0.8067901234567901
L2S382	0.9938271604938271	0.9969135802469136	0.9969135802469136	0.9981481481481481	1.0	0.9987654320987654	1.0	0.995679012345679	0.7753086419753087	0.7333333333333333	0.9049382716049382	0.8790123456790123	0.8537037037037037	0.737037037037037	0.0	0.7043209876543209	0.4962962962962963	0.821604938271605	0.8419753086419753	0.8648148148148148	0.8919753086419753	0.8191358024691358	0.8925925925925926	0.8611111111111112	0.8882716049382716	0.8339506172839506	0.8197530864197531
L4S112	0.9833333333333333	0.987037037037037	0.9901234567901235	0.991358024691358	0.9932098765432099	0.987037037037037	0.9882716049382716	0.9820987654320987	0.6617283950617284	0.5376543209876543	0.741358024691358	0.7876543209876543	0.8179012345679012	0.2716049382716049	0.7043209876543209	0.0	0.5796296296296296	0.5135802469135803	0.8067901234567901	0.8475308641975309	0.8685185185185185	0.8074074074074075	0.8722222222222222	0.8290123456790124	0.8623456790123457	0.812962962962963	0.8030864197530864
L4S137	0.991358024691358	0.9950617283950617	0.9969135802469136	0.9981481481481481	1.0	0.9987654320987654	1.0	0.9938271604938271	0.7567901234567901	0.6061728395061728	0.8820987654320988	0.8530864197530864	0.7870370370370371	0.5950617283950618	0.4962962962962963	0.5796296296296296	0.0	0.7796296296296297	0.7895061728395062	0.821604938271605	0.8425925925925926	0.774074074074074	0.8407407407407408	0.8030864197530864	0.837037037037037	0.7709876543209877	0.7530864197530864
L4S63	0.9907407407407407	0.9907407407407407	0.9969135802469136	0.9981481481481481	1.0	0.9987654320987654	1.0	0.9962962962962963	0.7018518518518518	0.6888888888888889	0.7438271604938271	0.7080246913580247	0.9061728395061729	0.5530864197530864	0.821604938271605	0.5135802469135803	0.7796296296296297	0.0	0.9228395061728395	0.9314814814814815	0.9308641975308642	0.924074074074074	0.9222222222222223	0.9160493827160494	0.9160493827160494	0.9092592592592592	0.9135802469135802
L5S104	0.9944444444444445	1.0	0.9975308641975309	1.0	1.0	0.9932098765432099	0.9944444444444445	0.9882716049382716	0.8506172839506173	0.8271604938271605	0.9253086419753086	0.9469135802469136	0.3962962962962963	0.8135802469135802	0.8419753086419753	0.8067901234567901	0.7895061728395062	0.9228395061728395	0.0	0.37530864197530867	0.4981481481481482	0.3351851851851852	0.4469135802469136	0.3888888888888889	0.6055555555555555	0.4740740740740741	0.5401234567901234
L5S155	0.9944444444444445	0.9944444444444445	0.9919753086419754	0.9944444444444445	0.9944444444444445	0.9932098765432099	0.9944444444444445	0.9882716049382716	0.9018518518518519	0.8462962962962963	0.9679012345679012	0.9549382716049383	0.45123456790123456	0.8691358024691358	0.8648148148148148	0.8475308641975309	0.821604938271605	0.9314814814814815	0.37530864197530867	0.0	0.49753086419753084	0.2074074074074074	0.3388888888888889	0.44938271604938274	0.6419753086419753	0.558641975308642	0.6530864197530865
L5S174	1.0	1.0	0.9975308641975309	1.0	1.0	0.9987654320987654	1.0	0.9938271604938271	0.9222222222222223	0.8654320987654321	0.9679012345679012	0.9549382716049383	0.5179012345679013	0.8919753086419753	0.8919753086419753	0.8685185185185185	0.8425925925925926	0.9308641975308642	0.4981481481481482	0.49753086419753084	0.0	0.43209876543209874	0.39444444444444443	0.554320987654321	0.604320987654321	0.6092592592592593	0.55
L5S203	1.0	0.9975308641975309	0.9950617283950617	0.9975308641975309	0.9975308641975309	0.9987654320987654	1.0	0.9938271604938271	0.8611111111111112	0.7944444444444444	0.9580246913580247	0.9438271604938272	0.4339506172839506	0.832716049382716	0.8191358024691358	0.8074074074074075	0.774074074074074	0.924074074074074	0.3351851851851852	0.2074074074074074	0.43209876543209874	0.0	0.23271604938271606	0.45185185185185184	0.5388888888888889	0.4993827160493827	0.5469135802469136
L5S222	1.0	1.0	0.9975308641975309	1.0	1.0	0.9987654320987654	1.0	0.9944444444444445	0.9203703703703704	0.8790123456790123	0.9574074074074074	0.9438271604938272	0.4666666666666667	0.8876543209876543	0.8925925925925926	0.8722222222222222	0.8407407407407408	0.9222222222222223	0.4469135802469136	0.3388888888888889	0.39444444444444443	0.23271604938271606	0.0	0.5179012345679013	0.5839506172839506	0.5006172839506173	0.5438271604938272
L5S240	0.9987654320987654	0.9938271604938271	0.9919753086419754	0.9938271604938271	0.9938271604938271	0.9987654320987654	1.0	0.9938271604938271	0.9117283950617284	0.858641975308642	0.9592592592592593	0.9438271604938272	0.1382716049382716	0.8277777777777777	0.8611111111111112	0.8290123456790124	0.8030864197530864	0.9160493827160494	0.3888888888888889	0.44938271604938274	0.554320987654321	0.45185185185185184	0.5179012345679013	0.0	0.32469135802469135	0.2419753086419753	0.4160493827160494
L6S20	0.9987654320987654	0.9993827160493827	0.9969135802469136	0.9993827160493827	0.9993827160493827	0.9987654320987654	1.0	0.9938271604938271	0.9432098765432099	0.8981481481481481	0.9592592592592593	0.9469135802469136	0.32222222222222224	0.8629629629629629	0.8882716049382716	0.8623456790123457	0.837037037037037	0.9160493827160494	0.6055555555555555	0.6419753086419753	0.604320987654321	0.5388888888888889	0.5839506172839506	0.32469135802469135	0.0	0.28888888888888886	0.4567901234567901
L6S68	0.9987654320987654	0.9981481481481481	0.995679012345679	0.9981481481481481	0.9981481481481481	0.9987654320987654	1.0	0.9938271604938271	0.8975308641975308	0.854320987654321	0.95	0.9376543209876543	0.22777777777777777	0.8141975308641975	0.8339506172839506	0.812962962962963	0.7709876543209877	0.9092592592592592	0.4740740740740741	0.558641975308642	0.6092592592592593	0.4993827160493827	0.5006172839506173	0.2419753086419753	0.28888888888888886	0.0	0.40185185185185185
L6S93	0.9938271604938271	0.9987654320987654	0.9962962962962963	0.9987654320987654	0.9987654320987654	0.9987654320987654	1.0	0.9938271604938271	0.8950617283950617	0.845679012345679	0.9493827160493827	0.9382716049382716	0.39382716049382716	0.8067901234567901	0.8197530864197531	0.8030864197530864	0.7530864197530864	0.9135802469135802	0.5401234567901234	0.6530864197530865	0.55	0.5469135802469136	0.5438271604938272	0.4160493827160494	0.4567901234567901	0.40185185185185185	0.0
