	ERR1458739	ERR1458746	ERR1458747	ERR1458750	ERR1458752	ERR1458765	ERR1458793	ERR1458809	ERR1458829	ERR1458831	ERR1458855	ERR1458857	ERR1458868	ERR1458871	ERR1458881	ERR1458883	ERR1458893	ERR1458899	ERR1458906	ERR1458915	ERR1458929	ERR1458931	ERR1458936	ERR1458937	ERR1458942	ERR1458980	ERR1458992	ERR1458999	ERR1459008	ERR1459017	ERR1459028	ERR1459033	ERR1459034	ERR1459037	ERR1459045	ERR1459063	ERR1459072	ERR1459099	ERR1459109	ERR1459123	ERR1459124	ERR1459126	ERR1459131	ERR1459142	ERR1459146	ERR1459147	ERR1459152	ERR1459161	ERR1459162	ERR1459172	ERR1459203	ERR1459204	ERR2056783	ERR2056799
ERR1458855	0.8562585969738652	0.5667125171939478	0.6258596973865199	0.8500687757909215	0.6987620357634112	0.7565337001375516	0.7028885832187071	0.717331499312242	0.7214580467675378	0.796423658872077	0.0	0.9944979367262724	0.7379642365887208	0.6540577716643742	0.9112792297111417	0.7434662998624484	0.6973865199449794	0.6458046767537826	0.8026134800550206	0.8789546079779917	0.9972489683631361	0.7936726272352133	0.6629986244841816	0.6313617606602476	0.7324621733149931	0.7757909215955984	0.8177441540577717	0.8198074277854195	0.7675378266850069	0.875515818431912	0.7840440165061898	0.750343878954608	0.7042640990371389	0.7359009628610729	0.6643741403026134	0.7317744154057771	0.6946354883081155	0.6698762035763411	0.6850068775790922	0.5515818431911967	0.9793672627235214	0.6038514442916093	0.749656121045392	0.7530949105914718	0.7475928473177441	0.9339752407152683	0.5921595598349381	0.6643741403026134	0.7420907840440165	0.9284731774415406	0.8775790921595599	0.6829436038514443	0.6114167812929848	0.7922971114167813
ERR1458857	0.9951856946354883	0.9931224209078404	1.0	0.9993122420907841	0.9917469050894085	0.9993122420907841	0.9972489683631361	0.9986244841815681	0.9993122420907841	1.0	0.9944979367262724	0.0	0.9993122420907841	1.0	1.0	0.9993122420907841	0.9986244841815681	0.9951856946354883	1.0	0.9993122420907841	0.7744154057771664	1.0	0.9993122420907841	1.0	0.9965612104539202	0.9993122420907841	0.9979367262723521	0.9986244841815681	0.9979367262723521	0.9993122420907841	0.9979367262723521	0.9993122420907841	0.9972489683631361	0.9979367262723521	0.9965612104539202	0.9786795048143053	0.9951856946354883	0.9972489683631361	0.9965612104539202	0.9993122420907841	1.0	1.0	1.0	0.9938101788170564	1.0	1.0	0.9779917469050894	0.9986244841815681	1.0	1.0	0.9903713892709766	0.9360385144429161	0.9993122420907841	0.9993122420907841
ERR1458868	0.6843191196698762	0.7448418156808804	0.782668500687758	0.657496561210454	0.8143053645116919	0.5199449793672627	0.7379642365887208	0.7579092159559835	0.5729023383768913	0.6946354883081155	0.7379642365887208	0.9993122420907841	0.0	0.5804676753782668	0.7028885832187071	0.7104539202200826	0.6079779917469051	0.7723521320495186	0.8617606602475929	0.889958734525447	1.0	0.6458046767537826	0.7537826685006878	0.5907840440165062	0.6162310866574966	0.5969738651994498	0.6072902338376891	0.6176066024759285	0.7152682255845942	0.7936726272352133	0.6272352132049519	0.7922971114167813	0.7407152682255846	0.7606602475928473	0.8198074277854195	0.8060522696011004	0.7922971114167813	0.7138927097661623	0.797799174690509	0.7647867950481431	0.7847317744154058	0.7936726272352133	0.8418156808803301	0.8094910591471802	0.5825309491059147	0.7551581843191196	0.7510316368638239	0.7482806052269602	0.640990371389271	0.7125171939477304	0.7159559834938102	0.7125171939477304	0.718707015130674	0.782668500687758
ERR1458871	0.6354883081155434	0.6698762035763411	0.5811554332874828	0.577028885832187	0.8500687757909215	0.5020632737276479	0.7393397524071527	0.718707015130674	0.5880330123796423	0.6451169188445667	0.6540577716643742	1.0	0.5804676753782668	0.0	0.6698762035763411	0.686382393397524	0.5839064649243466	0.7757909215955984	0.8397524071526823	0.8720770288858322	1.0	0.5687757909215956	0.7455295735900963	0.5144429160935351	0.5818431911966988	0.5426409903713892	0.6746905089408528	0.7214580467675378	0.7228335625859698	0.8624484181568088	0.5653370013755158	0.812242090784044	0.7145804676753783	0.7613480055020633	0.750343878954608	0.8170563961485557	0.7943603851444292	0.7166437414030261	0.6671251719394773	0.7077028885832187	0.7132049518569463	0.6506189821182944	0.7888583218707015	0.6939477303988996	0.5708390646492435	0.7097661623108665	0.6774415405777167	0.6836313617606602	0.48830811554332876	0.6609353507565336	0.8383768913342503	0.7393397524071527	0.6464924346629987	0.843878954607978
ERR1458881	0.6547455295735901	0.9250343878954608	0.9236588720770289	0.6657496561210454	0.9298486932599724	0.6148555708390646	0.9222833562585969	0.9264099037138928	0.7544704264099037	0.6850068775790922	0.9112792297111417	1.0	0.7028885832187071	0.6698762035763411	0.0	0.8404401650618982	0.7764786795048143	0.9284731774415406	0.9387895460797799	0.952544704264099	1.0	0.6767537826685007	0.8975240715268226	0.6939477303988996	0.6279229711141678	0.6788170563961485	0.7627235213204951	0.8033012379642366	0.8170563961485557	0.8927097661623109	0.6458046767537826	0.9016506189821183	0.9236588720770289	0.9099037138927097	0.9284731774415406	0.9174690508940853	0.8975240715268226	0.9030261348005502	0.8961485557083907	0.9174690508940853	0.7207702888583218	0.9408528198074277	0.8603851444291609	0.937414030261348	0.6588720770288858	0.657496561210454	0.9264099037138928	0.8686382393397524	0.6416781292984869	0.6643741403026134	0.7640990371389271	0.8583218707015131	0.9332874828060522	0.9408528198074277
ERR1458883	0.8225584594222833	0.7097661623108665	0.7647867950481431	0.7620357634112792	0.8356258596973866	0.7138927097661623	0.7792297111416782	0.6740027510316369	0.7262723521320495	0.8005502063273727	0.7434662998624484	0.9993122420907841	0.7104539202200826	0.686382393397524	0.8404401650618982	0.0	0.6843191196698762	0.7544704264099037	0.8431911966987621	0.9092159559834938	0.9993122420907841	0.7228335625859698	0.7579092159559835	0.7090784044016506	0.6987620357634112	0.7599724896836314	0.7269601100412655	0.7386519944979367	0.7276478679504814	0.8314993122420908	0.7200825309491059	0.8204951856946355	0.7723521320495186	0.7647867950481431	0.7874828060522696	0.6994497936726273	0.7640990371389271	0.7448418156808804	0.7730398899587345	0.6616231086657497	0.8858321870701513	0.7585969738651994	0.8211829436038515	0.7475928473177441	0.7152682255845942	0.8651994497936726	0.655433287482806	0.7242090784044016	0.7627235213204951	0.8019257221458047	0.8177441540577717	0.7028885832187071	0.7922971114167813	0.8108665749656121
ERR1458893	0.7303988995873453	0.6795048143053645	0.7620357634112792	0.718707015130674	0.7592847317744154	0.6148555708390646	0.657496561210454	0.7462173314993122	0.5027510316368639	0.7070151306740028	0.6973865199449794	0.9986244841815681	0.6079779917469051	0.5839064649243466	0.7764786795048143	0.6843191196698762	0.0	0.6678129298486932	0.7647867950481431	0.8954607977991746	0.9993122420907841	0.6292984869325997	0.7386519944979367	0.6134800550206327	0.5419532324621733	0.6444291609353507	0.6052269601100413	0.6891334250343879	0.6506189821182944	0.7909215955983494	0.6217331499312242	0.7888583218707015	0.6760660247592847	0.6568088033012379	0.7799174690508941	0.7551581843191196	0.7077028885832187	0.6918844566712518	0.765474552957359	0.7028885832187071	0.828748280605227	0.749656121045392	0.859009628610729	0.6856946354883081	0.6011004126547456	0.81292984869326	0.7077028885832187	0.6822558459422283	0.7042640990371389	0.7737276478679505	0.750343878954608	0.7372764786795049	0.7537826685006878	0.7764786795048143
ERR1458899	0.8555708390646493	0.6980742778541953	0.7647867950481431	0.8459422283356258	0.7613480055020633	0.7517193947730398	0.7090784044016506	0.7317744154057771	0.6925722145804677	0.8920220082530949	0.6458046767537826	0.9951856946354883	0.7723521320495186	0.7757909215955984	0.9284731774415406	0.7544704264099037	0.6678129298486932	0.0	0.8370013755158184	0.8823933975240715	0.9972489683631361	0.7929848693259972	0.7469050894085282	0.7916093535075653	0.7771664374140302	0.7909215955983494	0.7290233837689133	0.7833562585969739	0.7001375515818432	0.859697386519945	0.8191196698762035	0.828060522696011	0.6258596973865199	0.6526822558459422	0.6843191196698762	0.7647867950481431	0.7111416781292985	0.7544704264099037	0.8184319119669876	0.6994497936726273	0.9766162310866575	0.7269601100412655	0.8583218707015131	0.7585969738651994	0.7661623108665749	0.9456671251719395	0.6953232462173315	0.7448418156808804	0.796423658872077	0.9257221458046767	0.8370013755158184	0.7352132049518569	0.7400275103163686	0.813617606602476
ERR1458906	0.920907840440165	0.7640990371389271	0.8294360385144429	0.9257221458046767	0.8624484181568088	0.8431911966987621	0.7785419532324622	0.7627235213204951	0.7723521320495186	0.9257221458046767	0.8026134800550206	1.0	0.8617606602475929	0.8397524071526823	0.9387895460797799	0.8431911966987621	0.7647867950481431	0.8370013755158184	0.0	0.9436038514442916	1.0	0.7379642365887208	0.81292984869326	0.8823933975240715	0.828748280605227	0.8741403026134801	0.875515818431912	0.8535075653370013	0.7888583218707015	0.875515818431912	0.7929848693259972	0.8713892709766162	0.8466299862448419	0.8170563961485557	0.8528198074277854	0.6960110041265475	0.7971114167812929	0.8170563961485557	0.9112792297111417	0.7716643741403026	0.9855570839064649	0.8204951856946355	0.8727647867950481	0.5797799174690509	0.8418156808803301	0.9649243466299863	0.7640990371389271	0.8108665749656121	0.9167812929848693	0.9635488308115543	0.9188445667125172	0.8005502063273727	0.8672627235213205	0.6616231086657497
ERR1458915	0.9154057771664375	0.8933975240715268	0.8803301237964236	0.8686382393397524	0.9491059147180193	0.8720770288858322	0.889958734525447	0.8892709766162311	0.8858321870701513	0.9683631361760661	0.8789546079779917	0.9993122420907841	0.889958734525447	0.8720770288858322	0.952544704264099	0.9092159559834938	0.8954607977991746	0.8823933975240715	0.9436038514442916	0.0	1.0	0.9099037138927097	0.9284731774415406	0.8789546079779917	0.9078404401650619	0.8913342503438789	0.8775790921595599	0.8885832187070152	0.9133425034387895	0.9601100412654745	0.938101788170564	0.843878954607978	0.8617606602475929	0.8878954607977991	0.9016506189821183	0.9332874828060522	0.921595598349381	0.8734525447042641	0.9222833562585969	0.8913342503438789	0.9724896836313618	0.9016506189821183	0.9360385144429161	0.9236588720770289	0.8817056396148556	0.984181568088033	0.8940852819807428	0.8645116918844566	0.8961485557083907	0.9325997248968363	0.9697386519944979	0.8920220082530949	0.8638239339752407	0.9360385144429161
